no,effectiveDate,mid
001/A/NBP/2024,2024-01-02,3.9432
002/A/NBP/2024,2024-01-03,3.9909
003/A/NBP/2024,2024-01-04,3.9684
004/A/NBP/2024,2024-01-05,3.985
005/A/NBP/2024,2024-01-08,3.9812
006/A/NBP/2024,2024-01-09,3.9612
007/A/NBP/2024,2024-01-10,3.9656
008/A/NBP/2024,2024-01-11,3.968
009/A/NBP/2024,2024-01-12,3.9746
010/A/NBP/2024,2024-01-15,3.9963
011/A/NBP/2024,2024-01-16,4.0358
012/A/NBP/2024,2024-01-17,4.0434
013/A/NBP/2024,2024-01-18,4.0437
014/A/NBP/2024,2024-01-19,4.0289
015/A/NBP/2024,2024-01-22,3.9972
016/A/NBP/2024,2024-01-23,4.0133
017/A/NBP/2024,2024-01-24,4.0131
018/A/NBP/2024,2024-01-25,4.0189
019/A/NBP/2024,2024-01-26,4.0393
020/A/NBP/2024,2024-01-29,4.0326
021/A/NBP/2024,2024-01-30,4.0301
022/A/NBP/2024,2024-01-31,4.0135
023/A/NBP/2024,2024-02-01,4.0047
024/A/NBP/2024,2024-02-02,3.9641
025/A/NBP/2024,2024-02-05,4.0244
026/A/NBP/2024,2024-02-06,4.0484
027/A/NBP/2024,2024-02-07,4.0362
028/A/NBP/2024,2024-02-08,4.0292
029/A/NBP/2024,2024-02-09,4.0096
030/A/NBP/2024,2024-02-12,4.0189
031/A/NBP/2024,2024-02-13,4.0136
032/A/NBP/2024,2024-02-14,4.0593
033/A/NBP/2024,2024-02-15,4.0495
034/A/NBP/2024,2024-02-16,4.0325
035/A/NBP/2024,2024-02-19,4.0269
036/A/NBP/2024,2024-02-20,3.9994
037/A/NBP/2024,2024-02-21,3.9966
038/A/NBP/2024,2024-02-22,3.9804
039/A/NBP/2024,2024-02-23,4.005
040/A/NBP/2024,2024-02-26,3.9776
041/A/NBP/2024,2024-02-27,3.9682
