no,effectiveDate,mid
001/A/NBP/2024,2024-01-02,3.9432
002/A/NBP/2024,2024-01-03,3.9909
003/A/NBP/2024,2024-01-04,3.9684
004/A/NBP/2024,2024-01-05,3.985
005/A/NBP/2024,2024-01-08,3.9812
006/A/NBP/2024,2024-01-09,3.9612
007/A/NBP/2024,2024-01-10,3.9656
008/A/NBP/2024,2024-01-11,3.968
009/A/NBP/2024,2024-01-12,3.9746
010/A/NBP/2024,2024-01-15,3.9963
011/A/NBP/2024,2024-01-16,4.0358
012/A/NBP/2024,2024-01-17,4.0434
013/A/NBP/2024,2024-01-18,4.0437
014/A/NBP/2024,2024-01-19,4.0289
015/A/NBP/2024,2024-01-22,3.9972
016/A/NBP/2024,2024-01-23,4.0133
017/A/NBP/2024,2024-01-24,4.0131
018/A/NBP/2024,2024-01-25,4.0189
019/A/NBP/2024,2024-01-26,4.0393
020/A/NBP/2024,2024-01-29,4.0326
021/A/NBP/2024,2024-01-30,4.0301
022/A/NBP/2024,2024-01-31,4.0135
023/A/NBP/2024,2024-02-01,4.0047
024/A/NBP/2024,2024-02-02,3.9641
025/A/NBP/2024,2024-02-05,4.0244
026/A/NBP/2024,2024-02-06,4.0484
027/A/NBP/2024,2024-02-07,4.0362
028/A/NBP/2024,2024-02-08,4.0292
029/A/NBP/2024,2024-02-09,4.0096
030/A/NBP/2024,2024-02-12,4.0189
031/A/NBP/2024,2024-02-13,4.0136
032/A/NBP/2024,2024-02-14,4.0593
033/A/NBP/2024,2024-02-15,4.0495
034/A/NBP/2024,2024-02-16,4.0325
035/A/NBP/2024,2024-02-19,4.0269
036/A/NBP/2024,2024-02-20,3.9994
037/A/NBP/2024,2024-02-21,3.9966
038/A/NBP/2024,2024-02-22,3.9804
039/A/NBP/2024,2024-02-23,4.005
040/A/NBP/2024,2024-02-26,3.9776
041/A/NBP/2024,2024-02-27,3.9682
001/A/NBP/2024,2024-01-02,4.3434
002/A/NBP/2024,2024-01-03,4.3646
003/A/NBP/2024,2024-01-04,4.3525
004/A/NBP/2024,2024-01-05,4.3484
005/A/NBP/2024,2024-01-08,4.3548
006/A/NBP/2024,2024-01-09,4.3351
007/A/NBP/2024,2024-01-10,4.3413
008/A/NBP/2024,2024-01-11,4.3505
009/A/NBP/2024,2024-01-12,4.3574
010/A/NBP/2024,2024-01-15,4.3748
011/A/NBP/2024,2024-01-16,4.3934
012/A/NBP/2024,2024-01-17,4.3978
013/A/NBP/2024,2024-01-18,4.4016
014/A/NBP/2024,2024-01-19,4.3846
015/A/NBP/2024,2024-01-22,4.356
016/A/NBP/2024,2024-01-23,4.3697
017/A/NBP/2024,2024-01-24,4.3755
018/A/NBP/2024,2024-01-25,4.379
019/A/NBP/2024,2024-01-26,4.3802
020/A/NBP/2024,2024-01-29,4.3653
021/A/NBP/2024,2024-01-30,4.3634
022/A/NBP/2024,2024-01-31,4.3434
023/A/NBP/2024,2024-02-01,4.3247
024/A/NBP/2024,2024-02-02,4.3173
025/A/NBP/2024,2024-02-05,4.3278
026/A/NBP/2024,2024-02-06,4.3435
027/A/NBP/2024,2024-02-07,4.3466
028/A/NBP/2024,2024-02-08,4.3449
029/A/NBP/2024,2024-02-09,4.3167
030/A/NBP/2024,2024-02-12,4.328
031/A/NBP/2024,2024-02-13,4.3214
032/A/NBP/2024,2024-02-14,4.3435
033/A/NBP/2024,2024-02-15,4.3463
034/A/NBP/2024,2024-02-16,4.3414
035/A/NBP/2024,2024-02-19,4.339
036/A/NBP/2024,2024-02-20,4.3186
037/A/NBP/2024,2024-02-21,4.3163
038/A/NBP/2024,2024-02-22,4.3199
039/A/NBP/2024,2024-02-23,4.3326
040/A/NBP/2024,2024-02-26,4.3117
041/A/NBP/2024,2024-02-27,4.3067
001/A/NBP/2024,2024-01-02,4.6596
002/A/NBP/2024,2024-01-03,4.6873
003/A/NBP/2024,2024-01-04,4.6718
004/A/NBP/2024,2024-01-05,4.6714
005/A/NBP/2024,2024-01-08,4.6793
006/A/NBP/2024,2024-01-09,4.6616
007/A/NBP/2024,2024-01-10,4.6538
008/A/NBP/2024,2024-01-11,4.6637
009/A/NBP/2024,2024-01-12,4.6556
